target,vsys_hel,vsys_gsr,evsys,phase,l,b,struct
GA-RR38,106.8,72.0,12.7,0.21,188.852996,19.162759,GASS
GA-RR4,-152.9,-80.6,13.1,0.15,162.428913,18.755372,GASS
GA-RR40,78.4,65.6,13.2,0.31,183.594805,21.757605,GASS
GA-RR41,115.9,143.9,13.1,0.12,173.388718,24.735567,GASS
GA-RR42,98.7,44.9,12.6,0.09,193.5242,18.577142,GASS
GA-RR49,241.6,185.0,12.7,0.1,194.326989,19.298687,GASS
GA-RR5,77.7,145.6,14.3,0.09,163.564589,18.549745,GASS
GA-RR50,288.3,251.3,12.9,0.13,189.579697,21.060118,GASS
GA-RR54,250.8,205.7,13.6,0.26,191.616385,20.906914,GASS
GA-RR55,-24.9,-77.3,14.8,0.11,193.411601,20.337521,GASS
GA-RR57a,26.6,5.6,12.9,0.19,185.755458,23.348859,GASS
GA-RR57b,43.8,22.9,13.5,0.4,185.755458,23.348859,GASS
GA-RR58,-365.0,-303.0,15.5,0.15,164.245281,28.076795,GASS
GA-RR6,-199.9,-107.6,13.8,0.44,156.953916,21.165587,GASS
GA-RR61,-29.2,-48.0,14.1,0.41,185.240406,23.857698,GASS
GA-RR62,-33.9,-116.1,12.4,0.17,200.842264,18.689359,GASS
GA-RR63,28.4,-28.2,12.0,0.26,194.572404,21.179071,GASS
GA-RR66,-160.4,-76.9,13.3,0.18,158.055242,29.508283,GASS
GA-RR68,4.5,-14.7,12.1,0.07,185.478751,25.600312,GASS
GA-RR69,38.3,12.8,13.2,0.15,187.100958,25.668735,GASS
GA-RR71,120.1,113.5,13.7,0.17,182.333927,27.252222,GASS
GA-RR74,-17.0,47.6,13.3,0.19,163.159624,30.653762,GASS
GA-RR76,-144.4,-68.0,13.1,0.26,159.770527,30.931506,GASS
GA-RR77,35.1,-65.3,11.6,0.1,206.027744,20.564265,GASS
GA-RR78,104.2,56.0,13.3,0.18,192.991597,25.336651,GASS
GA-RR79,-41.0,-43.2,14.0,0.17,181.242049,28.368128,GASS
GA-RR80,-11.8,78.8,14.7,0.08,155.600831,31.255177,GASS
GA-RR85,-144.7,-238.0,12.2,0.22,204.441228,22.210206,GASS
GA-RR88,34.6,-91.2,12.3,0.12,212.807607,18.855688,GASS
GA-RR89,-1.2,-15.5,22.6,0.11,184.447141,28.629679,GASS
GA-RR90,276.9,147.5,11.9,0.08,213.780746,18.593171,GASS
GA-RR91,-45.4,9.5,12.7,0.12,165.756805,31.532542,GASS
GA-RR93,-70.0,-64.6,13.3,0.15,179.277073,30.014073,GASS
GA-RR95,41.6,47.2,13.1,0.13,179.208297,30.171451,GASS
GA-RR96,106.5,158.0,12.6,0.16,166.696604,31.836899,GASS
GA-RR97,83.6,-36.6,12.7,0.17,211.611519,20.543404,GASS
